"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION","CHARACTER_SET_CATALOG","CHARACTER_SET_SCHEMA","CHARACTER_SET_NAME","COLLATION_CATALOG","COLLATION_SCHEMA","COLLATION_NAME","DOMAIN_CATALOG","DOMAIN_SCHEMA","DOMAIN_NAME"
"Production","prod","HoseAssembly","CreatedAt","10","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","HoseAssembly","StartedAt","11","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","HoseAssembly","CompletedAt","12","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","HoseAssembly","CreatedByUserID","13","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","HoseAssembly","IsReversed","14","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","HoseAssembly","ReversedAt","15","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","HoseAssembly","ReversedByUserID","16","","YES","int","","","10","10","0","","","","","","","","","",""
"Production","prod","HoseAssembly","Notes","17","","YES","nvarchar","-1","-1","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","BatchOperators","BatchOperatorID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","BatchOperators","ProcessCode","2","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","BatchOperators","ProcessRecordID","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","BatchOperators","UserID","4","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","BatchOperators","IsPrimary","5","((0))","NO","bit","","","","","","","","","","","","","","",""
"Production","prod","BatchOperators","AssignedAt","6","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","BatchOperators","AssignedByUserID","7","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","BatchOperators","RemovedAt","8","","YES","datetime","","","","","","3","","","","","","","","",""
"Production","prod","ProductionTrace","TraceID","1","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ProductionTrace","ChildProcessCode","2","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ProductionTrace","ChildRecordID","3","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ProductionTrace","ParentProcessCode","4","","NO","nvarchar","5","10","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
"Production","prod","ProductionTrace","ParentRecordID","5","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","ProductionTrace","LinkedAt","6","(getdate())","NO","datetime","","","","","","3","","","","","","","","",""
"Production","prod","ProductionTrace","LinkedByUserID","7","","NO","int","","","10","10","0","","","","","","","","","",""
"Production","prod","StatusCodes","StatusID","1","","NO","tinyint","","","3","10","0","","","","","","","","","",""
"Production","prod","StatusCodes","StatusName","2","","NO","nvarchar","20","40","","","","","","","UNICODE","","","Latin1_General_CI_AS","","",""
